C created from parVisu 
C Anzahl der Randknoten:
       0       
C Anzahl der Gebietsknoten:
     827       
C Koordinaten und Skalarwerte der Knoten
C --------------------------------------
C Zuerst die Randknoten  (Anzahl s.o.),
C dann die Gebietsknoten (Anzahl s.o.)
C ------------+-------------+-------------+------------------
C     Nr.     |  x-Koord.   |   y-Koord.  |   Skalarwert
C ------------+-------------+-------------+------------------
     243        0.421900000000000 0.0607000000000000 1000.00000000000       
     244        0.546800000000000 0.0606000000000000 1000.00000000000       
     245        0.0606000000000000 0.578200000000000 1000.00000000000       
     246        0.961700000000000 0.296900000000000 1000.00000000000       
     247        0.939500000000000 0.703200000000000 1000.00000000000       
     248        0.961800000000000 0.546800000000000 1000.00000000000       
     249        0.203100000000000 0.939500000000000 1000.00000000000       
     250        0.328100000000000 0.939400000000000 1000.00000000000       
     251        0.939100000000000 0.171900000000000 1000.00000000000       
     252        0.936200000000000 0.421900000000000 1000.00000000000       
     253        0.578200000000000 0.939400000000000 1000.00000000000       
     254        0.796800000000000 0.939400000000000 1000.00000000000       
     255        0.185700000000000 0.0512000000000000 1000.00000000000       
     256        0.0954000000000000 0.0512000000000000 1000.00000000000       
     257        0.0512000000000000 0.904600000000000 1000.00000000000       
     258        0.0954000000000000 0.948800000000000 1000.00000000000       
     259        0.628300000000000 0.483700000000000 1000.00000000000       
     260        0.0512000000000000 0.830700000000000 1000.00000000000       
     261        0.496400000000000 0.660500000000000 1000.00000000000       
     262        0.169900000000000 0.948800000000000 1000.00000000000       
     263        0.673700000000000 0.513300000000000 1000.00000000000       
     264        0.101900000000000 0.817800000000000 1000.00000000000       
     265        0.442900000000000 0.681800000000000 1000.00000000000       
     266        0.645800000000000 0.530400000000000 1000.00000000000       
     267        0.346600000000000 0.642100000000000 1000.00000000000       
     268        0.264700000000000 0.521900000000000 1000.00000000000       
     269        0.628800000000000 0.633500000000000 1000.00000000000       
     270        0.512200000000000 0.425200000000000 1000.00000000000       
     271        0.0608000000000000 0.685300000000000 1000.00000000000       
     272        0.918300000000000 0.224100000000000 1000.00000000000       
     273        0.0353000000000000 0.343800000000000 1000.00000000000       
     274        0.0623000000000000 0.450300000000000 1000.00000000000       
     275        0.918700000000000 0.474300000000000 1000.00000000000       
     276        0.593800000000000 0.0353000000000000 1000.00000000000       
     277        0.685000000000000 0.937700000000000 1000.00000000000       
     278        0.965500000000000 0.645100000000000 1000.00000000000       
     279        0.944100000000000 0.670400000000000 1000.00000000000       
     280        0.888100000000000 0.679300000000000 1000.00000000000       
     281        0.912100000000000 0.593700000000000 1000.00000000000       
     282        0.418200000000000 0.937700000000000 1000.00000000000       
     283        0.433800000000000 0.889500000000000 1000.00000000000       
     284        0.432600000000000 0.967400000000000 1000.00000000000       
     285        0.668200000000000 0.0623000000000000 1000.00000000000       
     286        0.682600000000000 0.0326000000000000 1000.00000000000       
     287        0.683800000000000 0.110500000000000 1000.00000000000       
     288        0.331900000000000 0.0623000000000000 1000.00000000000       
     289        0.313600000000000 0.113700000000000 1000.00000000000       
     290        0.314800000000000 0.0334000000000000 1000.00000000000       
     291        0.386900000000000 0.0623000000000000 1000.00000000000       
